Reporting starts,Campaign name,Objective,Reach,Impressions,Frequency,Amount spent (VND),CTR (link click-through rate),CPC (All) (VND),"CPM (cost per 1,000 impressions) (VND)","Cost per 1,000 people reached (VND)",Conversions,Conversion values,Cost per conversion,Post comments,Link clicks,Messaging Conversations Started
2025-05-03,05_HEAD_Thiet ke,Messages,311,319,1.025723,25232,0.31348,1146.909091,79097.17868,81131.8328,0,0,0,1,1,1
2025-05-03,08_HEAD_Daily Flower,Messages,430,563,1.309302,51080,0.17762,1964.615385,90728.24156,118790.6977,0,0,0,0,1,1
2025-05-03,05_HEAD_Thiet ke,Messages,2866,3273,1.14201,199299,0.488848,972.190244,60891.84235,69539.07886,0,0,0,5,16,8
2025-05-03,13_HEAD_Campaign_08.03,Messages,2492,3200,1.284109,254354,0.09375,3028.02381,79485.625,102068.2183,0,0,0,0,3,3
2025-05-03,04_HEAD_Breezy,Messages,1414,1578,1.115983,60138,0.823828,653.673913,38110.26616,42530.41018,0,0,0,2,13,3
2025-05-03,01_HEAD_Embrace of Tana,Messages,180,203,1.127778,8696,0.985222,543.5,42837.43842,48311.11111,0,0,0,0,2,0
2025-05-03,04_HEAD_Breezy,Messages,1187,1306,1.100253,76138,1.071975,711.570093,58298.62175,64143.2182,0,0,0,0,14,4
2025-05-03,10_HEAD_Lan Ho diep,Messages,78,81,1.038462,11699,0,2339.8,144432.0988,149987.1795,0,0,0,0,0,0
2025-05-03,01_HEAD_Embrace of Tana,Messages,248,272,1.096774,13137,0.367647,938.357143,48297.79412,52971.77419,0,0,0,0,1,1
2025-05-03,07_Q7_Hoa cat canh,Engagement,635,785,1.23622,63769,0,1328.520833,81234.3949,100423.622,0,0,0,0,0,0
2025-05-03,13_HEAD_Campaign_08.03,Messages,373,447,1.198391,58829,0.223714,1838.40625,131608.5011,157718.4987,0,0,0,0,1,0
2025-05-03,05_HEAD_Thiet ke,Messages,144,148,1.027778,11465,0.675676,1146.5,77466.21622,79618.05556,0,0,0,0,1,0
2025-05-03,07_Q2_Hoa cat canh,Engagement,376,490,1.303191,51131,0.816327,1065.229167,104348.9796,135986.7021,0,0,0,0,4,0
2025-05-03,BR_HTM_Tuong tac,Engagement,772,827,1.071244,26164,0.241838,408.8125,31637.24305,33891.19171,0,0,0,0,2,0
2025-05-03,05_HEAD_Thiet ke,Messages,14,14,1,951,0,951,67928.57143,67928.57143,0,0,0,0,0,0
2025-05-03,07_HEAD_Hoa cat canh,Engagement,687,755,1.098981,45075,0.529801,715.47619,59701.98676,65611.35371,0,0,0,0,4,0
2025-05-03,07_HEAD_Hoa cat canh,Engagement,949,1271,1.339305,104409,1.022817,984.990566,82147.12825,110020.0211,0,0,0,0,13,2
2025-05-03,07_HEAD_Hoa cat canh,Engagement,749,947,1.264352,76080,0.63358,916.626506,80337.90919,101575.4339,0,0,0,0,6,1
2025-05-03,07_HEAD_Hoa cat canh,Engagement,2542,3437,1.352085,192869,0.669188,733.342205,56115.50771,75872.9347,0,0,0,1,23,3
2025-05-03,01_HEAD_Embrace of Tana,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-05-03,11_Q2_Hon hop,Messages,1944,2232,1.148148,156487,0.582437,1086.715278,70110.66308,80497.42798,0,0,0,0,13,8
2025-05-03,BR_Mokar_Tuong tac,Engagement,1658,1706,1.028951,25248,0.644783,158.792453,14799.53107,15227.98553,0,0,0,2,11,0
2025-05-03,08_HEAD_Daily Flower,Messages,468,589,1.258547,52055,0.848896,1156.777778,88378.60781,111228.6325,0,0,0,0,5,1
2025-05-03,07_Q2_Hoa cat canh,Engagement,499,675,1.352705,72801,1.037037,957.907895,107853.3333,145893.7876,0,0,0,0,7,0
2025-05-03,10_HEAD_Lan Ho diep,Messages,3863,4306,1.114678,212533,0.905713,651.941718,49357.40827,55017.6029,0,0,0,8,39,27
2025-05-03,BR_HTM_Tuong tac,Engagement,152,161,1.059211,4826,0,603.25,29975.15528,31750,0,0,0,0,0,0
2025-05-03,05_HEAD_Thiet ke,Messages,1451,1582,1.090283,107524,0.695322,833.51938,67967.13022,74103.37698,0,0,0,0,11,3
2025-05-03,05_HEAD_Thiet ke,Messages,173,177,1.023121,9624,0,740.307692,54372.88136,55630.0578,0,0,0,0,0,1
2025-05-03,10_HEAD_Lan Ho diep,Messages,467,561,1.201285,53341,0.356506,1666.90625,95081.99644,114220.5567,0,0,0,0,2,0
2025-05-03,01_HEAD_Embrace of Tana,Messages,3198,3667,1.146654,108059,0.763567,507.319249,29467.95746,33789.55597,0,0,0,3,28,12
2025-05-03,10_HEAD_Lan Ho diep,Messages,1837,2013,1.095808,119336,0.844511,823.006897,59282.66269,64962.43876,0,0,0,1,17,8
2025-05-03,10_HEAD_Lan Ho diep,Messages,7,7,1,860,0,860,122857.1429,122857.1429,0,0,0,0,0,0
2025-05-03,11_Q7_Hon hop,Messages,3646,3919,1.074877,117840,1.913754,352.814371,30068.89513,32320.35107,0,0,0,5,75,12
2025-05-03,07_Q7_Hoa cat canh,Engagement,218,282,1.293578,28114,1.06383,1124.56,99695.03546,128963.3028,0,0,0,0,3,0
2025-05-03,10_HEAD_Lan Ho diep,Messages,5,5,1,550,0,550,110000,110000,0,0,0,0,0,0
2025-05-03,BR_HTM_Tuong tac,Engagement,1412,1502,1.063739,25661,1.664447,154.584337,17084.55393,18173.51275,0,0,0,0,25,0
